player_id,first_name,last_name,position,team_id,status,total_points,current_value,selected_by_percent,news,photo,image_status
226,Eberechi,Eze,3,8,a,5,64,13.1,,232413.jpg,Downloaded
227,Vicente,Guaita,1,8,a,0,45,0.8,,40836.jpg,Downloaded
228,Marc,Guéhi,2,8,a,8,45,1.9,,209036.jpg,Downloaded
229,Will,Hughes,3,8,i,0,50,0.0,Knee injury - Unknown return date,108413.jpg,Downloaded
230,Sam,Johnstone,1,8,a,8,45,2.1,,101982.jpg,Downloaded
231,Jefferson,Lerma Solís,3,8,a,5,50,0.3,,152551.jpg,Downloaded
232,Jean-Philippe,Mateta,4,8,a,0,49,0.3,,231747.jpg,Downloaded
233,Remi,Matthews,1,8,a,0,40,0.1,,169593.jpg,Downloaded
234,Tyrick,Mitchell,2,8,a,10,45,0.8,,244723.jpg,Downloaded
236,Michael,Olise,3,8,i,0,59,0.1,Hamstring injury - Unknown return date,443661.jpg,Downloaded
237,Luke,Plange,4,8,u,0,45,0.0,"Half season loan to Carlisle United, expected back in January",450541.jpg,Downloaded
238,Chris,Richards,2,8,a,0,40,0.4,,427623.jpg,Downloaded
239,Jairo,Riedewald,3,8,a,0,45,0.1,,173954.jpg,Downloaded
240,Jeffrey,Schlupp,3,8,a,5,50,0.2,,86417.jpg,Downloaded
241,James,Tomkins,2,8,a,1,40,1.0,,49413.jpg,Downloaded
242,Joel,Ward,2,8,a,8,45,0.3,,55494.jpg,Downloaded
243,Joe,Whitworth,1,8,a,0,40,1.4,,487818.jpg,Downloaded
244,André,Tavares Gomes,3,9,a,0,45,0.3,,120250.jpg,Downloaded
245,Jarrad,Branthwaite,2,9,a,0,40,0.4,,480455.jpg,Downloaded
246,Dominic,Calvert-Lewin,4,9,d,1,59,0.6,Facial Injury - 50% chance of playing,177815.jpg,Downloaded
247,Seamus,Coleman,2,9,i,0,44,0.0,Knee injury - Unknown return date,59949.jpg,Downloaded
248,Dele,Alli,3,9,i,0,49,0.0,Hip injury - Unknown return date,108823.jpg,Downloaded
249,Abdoulaye,Doucouré,3,9,a,4,55,0.2,,121599.jpg,Downloaded
250,James,Garner,3,9,a,4,50,0.0,,232928.jpg,Downloaded
251,Jean-Philippe,Gbamin,3,9,a,0,45,0.0,,160987.jpg,Downloaded
252,Ben,Godfrey,2,9,a,0,45,0.2,,198826.jpg,Downloaded
253,Demarai,Gray,3,9,a,0,54,0.3,,172632.jpg,Downloaded
254,Idrissa,Gueye,3,9,a,2,50,0.0,,80801.jpg,Downloaded
255,Mason,Holgate,2,9,a,0,40,1.6,,194164.jpg,Downloaded
256,Alex,Iwobi,3,9,d,3,55,0.7,Hamstring injury - 25% chance of playing,153133.jpg,Downloaded
257,Michael,Keane,2,9,a,1,45,0.3,,106611.jpg,Downloaded
258,Neal,Maupay,4,9,a,3,50,1.2,,115382.jpg,Downloaded
259,Dwight,McNeil,3,9,i,0,54,0.1,Ankle injury - Unknown return date,433154.jpg,Downloaded
260,Vitalii,Mykolenko,2,9,a,0,44,0.2,,224967.jpg,Downloaded
261,Amadou,Onana,3,9,a,4,50,0.2,,449871.jpg,Downloaded
262,Nathan,Patterson,2,9,a,1,45,0.2,,243571.jpg,Downloaded
263,Jordan,Pickford,1,9,a,2,45,13.5,,111234.jpg,Downloaded
264,Ellis,Simms,4,9,u,0,45,0.0,Transferred to Coventry City,218997.jpg,Downloaded
265,James,Tarkowski,2,9,a,2,45,1.9,,17761.jpg,Downloaded
266,João,Neves Virgínia,1,9,a,0,40,0.5,,222627.jpg,Downloaded
267,Andreas,Hoelgebaum Pereira,3,10,a,6,55,1.0,,156689.jpg,Downloaded
268,Tom,Cairney,3,10,a,1,50,0.0,,76357.jpg,Downloaded
269,Ivan,Neves Abreu Cavaleiro,3,10,u,0,50,0.0,Permanent transfer to Lille,166324.jpg,Downloaded
270,Bobby,De Cordova-Reid,3,10,a,8,55,0.2,,96994.jpg,Downloaded
271,Issa,Diop,2,10,a,9,45,1.0,,219924.jpg,Downloaded
272,Tyrese,Francois,3,10,a,0,45,0.0,,432931.jpg,Downloaded
273,Anthony,Knockaert,3,10,a,0,45,0.1,,83543.jpg,Downloaded
274,Terence,Kongolo,2,10,a,0,40,0.1,,109434.jpg,Downloaded
275,Bernd,Leno,1,10,a,14,45,9.8,,80201.jpg,Downloaded
276,Saša,Lukić,3,10,a,5,45,0.7,,212314.jpg,Downloaded
277,Kevin,Mbabu,2,10,a,0,40,0.5,,120721.jpg,Downloaded
278,Aleksandar,Mitrović,4,10,u,1,74,2.1,Permanent transfer to Al-Hilal,128389.jpg,Downloaded
279,Rodrigo,Muniz Carvalho,4,10,a,1,45,0.4,,244042.jpg,Downloaded
280,João,Palhinha Gonçalves,3,10,a,0,50,0.1,,154296.jpg,Downloaded
